"","line","section_name","section_artist","song_name","artist_name","song_id"
"71","All that we see is born from sorrow (sorrow)","Verse 2","Tommy Karevik","Wake the World","Epica",8384860
"72","Is this a dream?","Verse 2","Tommy Karevik","Wake the World","Epica",8384860
"73","Not sure what's real","Verse 2","Tommy Karevik","Wake the World","Epica",8384860
"74","The world is crying","Verse 2","Tommy Karevik","Wake the World","Epica",8384860
"75","A seed within begins to bloom into a symphony","Verse 2","Tommy Karevik","Wake the World","Epica",8384860
"76","Can our music triumph over tragedy?","Pre-Chorus","Epica","Wake the World","Epica",8384860
"77","(You are never gonna live your dreams)","Pre-Chorus","Epica","Wake the World","Epica",8384860
"78","Clear the dissonance so that we finally, will see","Pre-Chorus","Epica","Wake the World","Epica",8384860
"79","(You are durable)","Pre-Chorus","Epica","Wake the World","Epica",8384860
"80","Can our music heal the world?","Pre-Chorus","Epica","Wake the World","Epica",8384860
"81","The time will come","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"82","Turn dreams into melodies","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"83","By bringing our hearts together","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"84","A simple tune, a song","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"85","To wake the world","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"86","And light the way","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"87","The time will come","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"88","Turn dreams into melodies","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"89","By bringing our hearts together","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"90","A simple tune, a song","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"91","To wake the world","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"92","A guiding flame","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"93","The time has come","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"94","Turn dreams into melodies","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"95","(Dreams into melodies)","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"96","By bringing our hearts together","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"97","A simple tune, a song","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"98","(The music in my mind)","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"99","(The music's here)","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"100","To wake the world","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"101","And light the way","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"102","Forever","Chorus","Simone Simons & Tommy Karevik","Wake the World","Epica",8384860
"103","Everything dies","Intro","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"104","Mirror, mirror on the wall","Verse 1","Simone Simons, Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"105","Who will be the one to destroy us all?","Verse 1","Simone Simons, Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"106","Mirror, mirror, can't you see?","Verse 1","Simone Simons, Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"107","It's written in the stars that it's you and me","Verse 1","Simone Simons, Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"108","They're gonna burn this world down to the ground","Pre-Chorus 1","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"109","Guns are going off, can't hear a sound","Pre-Chorus 1","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"110","Toxic in the air, I can hear you pray","Pre-Chorus 1","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"111","Will you stay with me? Can you hear what I say?","Pre-Chorus 1","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"112","You said ""Let's live forever now""","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"113","But that was yesterday","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"114","I guess it's time to say goodbye","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"115","The world goes to sleep, the final lullaby","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"116","It is time","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"117","Don't you cry","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"118","Say your prayers","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"119","Wave goodbye","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"120","As the darkness comes down","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"121","The world ends and everything diеs","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"122","Mirror, mirror on the wall","Verse 2","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"123","Do you think we can survive this all?","Verse 2","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"124","Mirror, mirror, can you hеar?","Verse 2","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"125","They're coming for us, it is what we feared","Verse 2","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"126","They're gonna tear this night up at the seams","Pre-Chorus 2","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"127","Lies are all around, nothing's what it seems","Pre-Chorus 2","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"128","Tear gas in the sky, I can't breathe","Pre-Chorus 2","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"129","Will I see you again? Will you remember me?","Pre-Chorus 2","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"130","You said ""Let's live forever now""","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"131","But that was yesterday","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"132","Now blood flows and fills the sky","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"133","The stars begin to fade","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"134","I hear you say ""It's over now""","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"135","There's no time to cry","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"136","I guess it's time to say goodbye","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"137","The world goes to sleep, the final lullaby","Chorus","Simone Simons & Jørgen Munkeby, Jørgen Munkeby","The Final Lullaby","Epica",8383155
"138","It is time","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"139","Don't you cry","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"140","Say your prayers","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"141","Wave goodbye","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"142","As the darkness comes down","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"143","The world ends and everything dies","Post-Chorus","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"144","You and I will find a way out here tonight","Bridge","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"145","So here we are, hand in hand","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"146","(Everything dies)","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"147","Watching the world end","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"148","(And now everything dies)","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"149","The rain is pounding down on us from a broken sky","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"150","(Everything dies)","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"151","But we will live somehow","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"152","(And now)","Refrain","Jørgen Munkeby","The Final Lullaby","Epica",8383155
"153","I hear you say ""It's over now""","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"154","There's no time to cry","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"155","I guess it's time to say goodbye","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"156","The world goes to sleep, the final lullaby","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"157","Bye","Chorus","Simone Simons & Jørgen Munkeby","The Final Lullaby","Epica",8383155
"158","It is time","Outro","Epica","The Final Lullaby","Epica",8383155
"159","Have no fear","Outro","Epica","The Final Lullaby","Epica",8383155
"160","It's the end","Outro","Epica","The Final Lullaby","Epica",8383155
"161","It is here","Outro","Epica","The Final Lullaby","Epica",8383155
"162","Say your prayers","Outro","Epica","The Final Lullaby","Epica",8383155
"163","Wave goodbye as it ends","Outro","Epica","The Final Lullaby","Epica",8383155
"164","And everything dies","Outro","Epica","The Final Lullaby","Epica",8383155
"165","Do you remember your home?","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"166","Fruit that shimmers like gold","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"167","Blossoms, like flaming fire","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"168","In your garden they grow","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"169","All the corals and pearls","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"170","At the heart of the world","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"171","All the castles of amber","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"172","Await your return","Verse 1","Simone Simons","Sirens - Of Blood And Water","Epica",8384861
"173","Little sister","Verse 2","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"174","The sun is sleeping","Verse 2","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"175","Come with me before","Verse 2","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"176","Crimson fills the air","Verse 2","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"177","Every creature below","Verse 2","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"178","Is weeping for your fate","Verse 2","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"179","So take my hand now","Verse 2","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"180","Will you take this dagger from me","Chorus","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"181","Sweet sister","Chorus","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"182","Don't linger","Chorus","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"183","Come on into the water","Chorus","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"184","'Cause our blood runs deepеr","Chorus","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"185","And I miss you","Chorus","Charlotte Wessels","Sirens - Of Blood And Water","Epica",8384861
"186","See this knife, it is sharp","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"187","Plunge it into his heart","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"188","Sеnd his soul to the heavens","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"189","Far above the stars","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"190","Shed no tears over him","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"191","Guilt and sorrow don't swim","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"192","Once you dance on the waves","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"193","You will find love","Verse 3","Myrkur","Sirens - Of Blood And Water","Epica",8384861
"194","Will you take this dagger from me","Chorus","Myrkur, Charlotte Wessels & Simone Simons","Sirens - Of Blood And Water","Epica",8384861
